wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3038593,-4259725,hydrographic,Yalpug,Yalpug,variant,45.67518,28.592833,S1-000,,
-3038112,237334,hydrographic,Iagorlîk,Iagorlik,official,47.374735,29.149573,S1-000,,
-3038593,-4080003,hydrographic,Ialpugul,Ialpugul,variant,45.67518,28.592833,S1-000,,
-3038593,-4259726,hydrographic,Yalpukh,Yalpukh,variant,45.67518,28.592833,S1-000,,
-3038593,236859,hydrographic,Yalpuh,Yalpuh,official,45.67518,28.592833,S1-000,,
-3038593,9117317,hydrographic,Ialpug,Ialpug,official,45.67518,28.592833,S1-000,,
-3038593,15835927,hydrographic,"Bol’shoy Yalpug","Bol'shoy Yalpug",variant,45.67518,28.592833,S1-000,,
-3038112,241980,hydrographic,Iagornik,Iagornik,variant,47.374735,29.149573,S1-000,,
-3038593,236858,hydrographic,"Ialpugul Mare","Ialpugul Mare",variant,45.67518,28.592833,S1-000,,
-3038112,15829540,hydrographic,Ягорлык,Ягорлык,unknown,47.374735,29.149573,S1-000,,
-3038112,237335,hydrographic,Yahorlyk,Yahorlyk,official,47.374735,29.149573,S1-000,,
-3038593,15835948,hydrographic,"Большой Ялпуг","Большой Ялпуг",unknown,45.67518,28.592833,S1-000,,
-3038112,-4259082,hydrographic,Yagorlyk,Yagorlyk,variant,47.374735,29.149573,S1-000,,
-3038593,-4048313,hydrographic,"Bol’shoy Yalpug","Bol'shoy Yalpug",variant,45.67518,28.592833,S1-000,,
-3038112,15829539,hydrographic,Iagorlâc,Iagorlac,variant,47.374735,29.149573,S1-000,,
-3020961,241979,hydrographic,Trostianec,Trostianec,variant,47.400929,29.222786,S1-000,,
-3020961,15829541,hydrographic,Trossanec,Trossanec,official,47.400929,29.222786,S1-000,,
-3020961,237310,hydrographic,Trostianeţ,Trostianet,official,47.400929,29.222786,S1-000,,
-3020961,-4234301,hydrographic,Trosyanets,Trosyanets,variant,47.400929,29.222786,S1-000,,
-3020961,15829542,hydrographic,Тростянец,Тростянец,unknown,47.400929,29.222786,S1-000,,
-3020961,-4234270,hydrographic,Trostyanets,Trostyanets,variant,47.400929,29.222786,S1-000,,
-2996559,-4202292,hydrographic,Serata,Serata,variant,45.803691,29.680501,S1-000,,
-2996559,9006851,hydrographic,Sărata,Sarata,official,45.803691,29.680501,S1-000,,
-2996559,-4198951,hydrographic,Sarata,Sarata,official,45.803691,29.680501,S1-000,,
-2996559,15699985,hydrographic,Сарата,Сарата,unknown,45.803691,29.680501,S1-000,,
-2995471,-4200402,hydrographic,Seaca,Seaca,variant,46.231558,29.339264,S1-000,,
-2995471,241517,hydrographic,Arsa,Arsa,variant,46.231558,29.339264,S1-000,,
-2995471,17348373,hydrographic,Сака,Сака,unknown,46.231558,29.339264,S1-000,,
-2995471,9079213,hydrographic,Saca,Saca,variant,46.231558,29.339264,S1-000,,
-2995471,-4197291,hydrographic,Saka,Saka,official,46.231558,29.339264,S1-000,,
-2974308,-4167214,hydrographic,Ol’shanka,Ol'shanka,variant,48.129538,28.424112,S1-000,,
-2974308,11496393,hydrographic,Вільшанка,Вільшанка,unknown,48.129538,28.424112,S1-000,,
-2974308,244694,hydrographic,Olşanka,Olsanka,official,48.129538,28.424112,S1-000,,
-2974308,239294,hydrographic,Vil’shanka,Vil'shanka,variant,48.129538,28.424112,S1-000,,
-2973282,239283,hydrographic,Oknytsya,Oknytsya,variant,48.091822,28.629165,S1-000,,
-2973282,11499358,hydrographic,Viknytsya,Viknytsya,official,48.091822,28.629165,S1-000,,
-2973282,509558,hydrographic,Ocniţa,Ocnita,official,48.091822,28.629165,S1-000,,
-2973282,11499355,hydrographic,Вікниця,Вікниця,unknown,48.091822,28.629165,S1-000,,
-2973282,-4165885,hydrographic,Oknitsa,Oknitsa,variant,48.091822,28.629165,S1-000,,
-2930497,237316,hydrographic,Kohyl’nyk,Kohyl'nyk,variant,45.802391,29.670135,S1-000,,
-2930497,-4105147,hydrographic,"Reka Kogylnik","Reka Kogylnik",variant,45.802391,29.670135,S1-000,,
-2930497,237317,hydrographic,Cogîlnic,Cogilnic,official,45.802391,29.670135,S1-000,,
-2930497,-4060175,hydrographic,Cogâlnicul,Cogalnicul,variant,45.802391,29.670135,S1-000,,
-2930497,-4105133,hydrographic,Kogil’nik,Kogil'nik,variant,45.802391,29.670135,S1-000,,
-2930497,-4119482,hydrographic,Kunduk,Kunduk,variant,45.802391,29.670135,S1-000,,
-2930497,19914412,hydrographic,Kohylnyk,Kohylnyk,official,45.802391,29.670135,S1-000,,
-2930497,15699994,hydrographic,Когильник,Когильник,unknown,45.802391,29.670135,S1-000,,
-2930497,241510,hydrographic,Cogâlnic,Cogalnic,variant,45.802391,29.670135,S1-000,,
-2930497,-4060176,hydrographic,Cohalnic,Cohalnic,variant,45.802391,29.670135,S1-000,,
-2928159,-4058382,hydrographic,"Chirghiş Chitai","Chirghis Chitai",variant,45.688698,29.193563,S1-000,,
-2928159,236539,hydrographic,Kirghij-Kilai,Kirghij-Kilai,official,45.688698,29.193563,S1-000,,
-2928159,-4101742,hydrographic,Kyrhyzh-Kytay,Kyrhyzh-Kytay,official,45.688698,29.193563,S1-000,,
-2928159,15469258,hydrographic,Киргиж-Китай,Киргиж-Китай,unknown,45.688698,29.193563,S1-000,,
-2928159,236535,hydrographic,Kirgizh-Kitay,Kirgizh-Kitay,variant,45.688698,29.193563,S1-000,,
-2924206,-4079464,hydrographic,Hadjidere,Hadjidere,variant,45.903312,29.982932,S1-000,,
-2924206,15709780,hydrographic,Хаджидер,Хаджидер,unknown,45.903312,29.982932,S1-000,,
-2924206,15709779,hydrographic,Khadzhyder,Khadzhyder,official,45.903312,29.982932,S1-000,,
-2924206,-4095557,hydrographic,Khadzhider,Khadzhider,variant,45.903312,29.982932,S1-000,,
-2924206,9007116,hydrographic,Khodzhyder,Khodzhyder,variant,45.903312,29.982932,S1-000,,
-2920661,9079233,hydrographic,Căplani,Caplani,official,46.187889,29.886664,S1-000,,
-2920661,-4053721,hydrographic,Caplani,Caplani,variant,46.187889,29.886664,S1-000,,
-2920661,-4090233,hydrographic,Kaplany,Kaplany,variant,46.187889,29.886664,S1-000,,
-2920661,-4090230,hydrographic,"Reka Kaplani","Reka Kaplani",variant,46.187889,29.886664,S1-000,,
-2920661,15563067,hydrographic,Капланка,Капланка,unknown,46.187889,29.886664,S1-000,,
-2919728,11499372,hydrographic,Кам’янка,Кам'янка,unknown,48.024167,28.709167,S1-000,,
-2919728,244701,hydrographic,Camenca,Camenca,official,48.024167,28.709167,S1-000,,
-2919728,240164,hydrographic,Kamienka,Kamienka,variant,48.024167,28.709167,S1-000,,
-2920661,15563066,hydrographic,Kaplanka,Kaplanka,official,46.187889,29.886664,S1-000,,
-2920661,-4090229,hydrographic,Kaplan’,Kaplan',variant,46.187889,29.886664,S1-000,,
-2919728,239278,hydrographic,Kam”yanka,"Kam""""yanka",variant,48.024167,28.709167,S1-000,,
-2919728,-4088805,hydrographic,Kamenka,Kamenka,variant,48.024167,28.709167,S1-000,,
-2902207,15562630,hydrographic,Дністер,Дністер,unknown,46.304039,30.273684,S1-000,,
-2902207,-4063086,hydrographic,Dnestr,Dnestr,variant,46.304039,30.273684,S1-000,,
-2902207,-4237816,hydrographic,Tyras,Tyras,variant,46.304039,30.273684,S1-000,,
-2902207,-4063091,hydrographic,"Dniester River","Dniester River",variant,46.304039,30.273684,S1-000,,
-2902207,-4155073,hydrographic,Nistru,Nistru,official,46.304039,30.273684,S1-000,,
-2902207,-4063097,hydrographic,Dnister,Dnister,official,46.304039,30.273684,S1-000,,
-2902207,-4063092,hydrographic,Dniestr,Dniestr,variant,46.304039,30.273684,S1-000,,
-2902207,-4060599,hydrographic,Danastris,Danastris,variant,46.304039,30.273684,S1-000,,
-2902207,-4155074,hydrographic,Nistrul,Nistrul,variant,46.304039,30.273684,S1-000,,
-2902207,-4063105,hydrographic,Dnyestr,Dnyestr,variant,46.304039,30.273684,S1-000,,
-2902207,9252184,hydrographic,Dniester,Dniester,colloquial,46.304039,30.273684,S1-000,,
-2895694,19896469,hydrographic,Chaha,Chaha,official,45.978685,29.430363,S1-000,,
-2895694,15699962,hydrographic,Чага,Чага,unknown,45.978685,29.430363,S1-000,,
-2895694,-4053738,hydrographic,Ceaga,Ceaga,variant,45.978685,29.430363,S1-000,,
-2895694,-4053865,hydrographic,Chaga,Chaga,variant,45.978685,29.430363,S1-000,,
-2895694,240453,hydrographic,Čaga,Caga,variant,45.978685,29.430363,S1-000,,
-2893791,-4051140,park,Budzhak,Budzhak,variant,46.25,29,S1-000,,
-2893791,-4051141,park,"Budzhakskaya Step’","Budzhakskaya Step'",variant,46.25,29,S1-000,,
-2893791,-4051142,park,Budzhyak,Budzhyak,variant,46.25,29,S1-000,,
-2893791,239267,park,Bugeac,Bugeac,official,46.25,29,S1-000,,
-2277665,242667,settlement,Zaporojeţ,Zaporojet,official,47.588928,29.137887,MD-SN,,
-2277724,-3145270,settlement,Zerneshti,Zerneshti,variant,46.012066,28.162939,MD-CA,,
-2277632,15833135,spot,"Станция Яргара","Станция Яргара",unknown,46.42368,28.431413,MD-CT,,
-2277633,-3145178,settlement,Yarova,Yarova,variant,48.317313,28.045018,MD-SO,,
-2277648,-3141702,settlement,Ermoclia,Ermoclia,official,46.580453,29.512031,MD-SV,,
-2277649,242656,settlement,Hârjău,Harjau,official,47.804755,29.007713,MD-SN,,
-2277677,15832734,settlement,Золотиевка,Золотиевка,unknown,46.73833,29.189247,MD-IA,,
-2277631,15833136,settlement,Яргара,Яргара,unknown,46.425203,28.426756,MD-CT,,
-2277636,-3141693,settlement,Ediniţa-Târg,Edinita-Targ,variant,48.172149,27.30337,MD-ED,,
-2277631,240577,settlement,Iargara,Iargara,official,46.425203,28.426756,MD-CT,,
-2277650,15830929,settlement,Юрчены,Юрчены,unknown,47.079543,28.259852,MD-NI,,
-2277679,15828309,settlement,Зозуляны,Зозуляны,unknown,47.613706,28.991162,MD-RE,,
-2277658,15828313,settlement,Загорна,Загорна,unknown,47.795602,28.5543,MD-SD,,
-2277674,15832735,settlement,Жеврены,Жеврены,unknown,47.258379,29.063029,MD-DU,,
-2277674,-3145285,settlement,Zhevren’,Zhevren',variant,47.258379,29.063029,MD-DU,,
-2277664,-3145248,settlement,Zamchozhi,Zamchozhi,variant,47.205021,28.722158,MD-ST,,
-2277645,236484,settlement,Elizavetovca,Elizavetovca,official,48.27815,27.716593,MD-DO,,
-2277712,-3144398,spot,"Staţia de Cale Ferată Şoldăneşti","Statia de Cale Ferata Soldanesti",official,47.818333,28.790556,MD-SD,,
-2277641,-3145193,settlement,Yekimoutsy,Yekimoutsy,variant,47.69381,28.901383,MD-RE,,
-2277641,15828317,settlement,Екимоуцы,Екимоуцы,unknown,47.69381,28.901383,MD-RE,,
-2277655,242706,settlement,Zăicani,Zaicani,official,47.522217,28.502732,MD-TE,,
-2277657,-3145233,settlement,Zagoren’,Zagoren',variant,47.576734,28.727748,MD-RE,,
-2277666,15825164,settlement,Зайканы,Зайканы,unknown,47.976035,27.36898,MD-RI,,
-2277635,-3145182,administrative_region,"Raionul Edineţ","Raionul Edinet",official,48.166667,27.25,MD-ED,,
-2277645,15849108,settlement,Елизаветовка,Елизаветовка,unknown,48.27815,27.716593,MD-DO,,
-2277656,-3145232,settlement,Zagorancha,Zagorancha,variant,47.245044,27.766003,MD-UN,,
-2277660,9079664,spot,"Staţia Zaim","Statia Zaim",variant,46.611667,29.3175,MD-CS,,
-2277663,509550,settlement,Zalucheny,Zalucheny,variant,48.051132,28.554725,MD-FL,,
-2277677,-3145307,settlement,Zoloteyevka,Zoloteyevka,variant,46.73833,29.189247,MD-IA,,
-2277630,-3145173,hydrographic,Yalpuzhel’,Yalpuzhel',variant,46.02798,28.573881,MD-GA,,
-2277668,-3145269,settlement,Zereshty,Zereshty,short,46.183333,28.166667,MD-CT,,
-2277661,15832881,settlement,Новотираспольский,Новотираспольский,unknown,46.82874,29.52174,MD-SN,,
-2277657,-3145234,settlement,Zagoreny,Zagoreny,variant,47.576734,28.727748,MD-RE,,
-2277647,-3145203,settlement,Yepureny,Yepureny,variant,46.26241,28.219451,MD-CT,,
-2277635,9030418,administrative_region,"Yedinitskiy Rayon","Yedinitskiy Rayon",variant,48.166667,27.25,MD-ED,,
-2277637,15849402,settlement,Егоровка,Егоровка,unknown,48.204324,28.35916,MD-SO,,
-2277659,15835509,settlement,Заим,Заим,unknown,46.619385,29.348248,MD-CS,,
-2277653,236442,settlement,Zăbriceni,Zabriceni,official,48.073637,27.252645,MD-ED,,
-2277672,9116501,settlement,Iavgur,Iavgur,variant,46.539829,28.615112,MD-CM,,
-2277653,15849067,settlement,Забричаны,Забричаны,unknown,48.073637,27.252645,MD-ED,,
-2277666,-3145268,settlement,Zenchany,Zenchany,variant,47.976035,27.36898,MD-RI,,
-2277648,15834914,settlement,Ермоклия,Ермоклия,unknown,46.580453,29.512031,MD-SV,,
-2277640,-3145190,settlement,Yekaterinyanka,Yekaterinyanka,variant,46.583358,28.747297,MD-CM,,
-2277677,-3145306,settlement,Zoloteanca,Zoloteanca,variant,46.73833,29.189247,MD-IA,,
-2277679,-3145311,settlement,Zozulyany,Zozulyany,variant,47.613706,28.991162,MD-RE,,
-2277680,-3145314,settlement,Zubreşti,Zubresti,official,47.241701,28.524104,MD-ST,,
-2277679,526298,settlement,Zăzuleni,Zazuleni,official,47.613706,28.991162,MD-RE,,
-2277644,-3145198,settlement,Yelizavetovka,Yelizavetovka,variant,47.781765,28.017381,MD-BA,,
-2277660,-3145240,spot,"Gară Zaim","Gara Zaim",variant,46.611667,29.3175,MD-CS,,
-2277648,-3141701,settlement,Ermaclia,Ermaclia,variant,46.580453,29.512031,MD-SV,,
-2277669,-3145273,settlement,Zgardeshty,Zgardeshty,variant,47.530576,28.190496,MD-TE,,
-2277675,-3145294,settlement,Zhury,Zhury,variant,47.517677,29.042722,MD-SN,,
-2277656,-3145225,settlement,Zagarancha,Zagarancha,variant,47.245044,27.766003,MD-UN,,
-2277665,15829544,settlement,Запорожоц,Запорожоц,unknown,47.588928,29.137887,MD-SN,,
-2277681,-3145267,settlement,Zembreny,Zembreny,variant,46.838871,28.845947,MD-IA,,
-2277671,-3145279,settlement,Zhabka,Zhabka,variant,47.980911,28.704126,MD-FL,,
-2277639,-3145187,settlement,Yegorovka,Yegorovka,variant,47.61664,27.758431,MD-FA,,
-2277666,-3145238,settlement,Zaikany,Zaikany,variant,47.976035,27.36898,MD-RI,,
-2277669,15828312,settlement,Згордешты,Згордешты,unknown,47.530576,28.190496,MD-TE,,
-2277636,236423,settlement,Edineţ,Edinet,official,48.172149,27.30337,MD-ED,,
-2277650,-3145217,settlement,Yurcheni,Yurcheni,variant,47.079543,28.259852,MD-NI,,
-2277654,-3145265,settlement,Zekheychani,Zekheychani,variant,47.167988,28.952785,MD-CR,,
-2277679,526300,settlement,Zozylyany,Zozylyany,variant,47.613706,28.991162,MD-RE,,
-2277634,-3145181,settlement,"Yasnaya Polyana","Yasnaya Polyana",variant,46.141172,28.304978,MD-CT,,
-2277670,15849400,settlement,Згурица,Згурица,unknown,48.119814,28.014516,MD-DR,,
-2277674,-3145286,settlement,Zhevreny,Zhevreny,variant,47.258379,29.063029,MD-DU,,
-2277665,-3143839,settlement,"Posëlok Zaporozhets","Poselok Zaporozhets",variant,47.588928,29.137887,MD-SN,,
-2277645,-3145199,settlement,Elizavetovka,Elizavetovka,variant,48.27815,27.716593,MD-DO,,
-2277663,-3145247,settlement,Zaluchen’,Zaluchen',variant,48.051132,28.554725,MD-FL,,
-2277670,-3145276,settlement,Zgura,Zgura,variant,48.119814,28.014516,MD-DR,,
-2277667,-3145260,settlement,Zberoaia,Zberoaia,official,46.96896,28.105057,MD-000,,
-2277680,-3145312,settlement,Zubresht’,Zubresht',variant,47.241701,28.524104,MD-ST,,
-2277646,-3141699,settlement,Enăcheşti,Enachesti,variant,46.218996,28.415623,MD-CT,,
-2277632,9116306,spot,"Staţia de Cale Ferată Iargara","Statia de Cale Ferata Iargara",official,46.42368,28.431413,MD-CT,,
-2277666,-3145237,settlement,Zăicani,Zaicani,official,47.976035,27.36898,MD-RI,,
-2277669,-3145272,settlement,Zgardeshti,Zgardeshti,variant,47.530576,28.190496,MD-TE,,
-2277724,-3145317,settlement,Zyrneshty,Zyrneshty,variant,46.012066,28.162939,MD-CA,,
-2277663,237028,settlement,Zăluceni,Zaluceni,official,48.051132,28.554725,MD-FL,,
-2277676,-3145302,spot,"Gară Zloţi","Gara Zloti",variant,46.694156,28.895626,MD-CM,,
-2277640,-3141690,settlement,Ecaterineanca,Ecaterineanca,variant,46.583358,28.747297,MD-CM,,
-2277632,-3142203,spot,"Gară Iargara","Gara Iargara",variant,46.42368,28.431413,MD-CT,,
-2277653,-3145223,settlement,Zabrichen’,Zabrichen',variant,48.073637,27.252645,MD-ED,,
-2277676,-3145300,spot,"Stantsiya Zlot’","Stantsiya Zlot'",variant,46.694156,28.895626,MD-CM,,
-2277676,15830924,spot,"Станция Злоти","Станция Злоти",unknown,46.694156,28.895626,MD-CM,,
-2277677,-3145309,settlement,Zolotyanka,Zolotyanka,variant,46.73833,29.189247,MD-IA,,
-2277646,241623,settlement,Yenikoy,Yenikoy,variant,46.218996,28.415623,MD-CT,,
-2277724,15833129,settlement,Зырнешты,Зырнешты,unknown,46.012066,28.162939,MD-CA,,
-2277647,-3145202,settlement,Yepureni,Yepureni,variant,46.26241,28.219451,MD-CT,,
-2277676,505575,spot,"Staţia de Cale Ferată Zloţi","Statia de Cale Ferata Zloti",official,46.694156,28.895626,MD-CM,,
-2277641,-3145191,settlement,Yekimauts’,Yekimauts',variant,47.69381,28.901383,MD-RE,,
-2277669,-3145275,settlement,Zgordeshty,Zgordeshty,variant,47.530576,28.190496,MD-TE,,
-2277669,-3145274,settlement,Zgărdeşti,Zgardesti,official,47.530576,28.190496,MD-TE,,
-2277661,-3144345,settlement,Slobodka,Slobodka,variant,46.82874,29.52174,MD-SN,,
-2277655,-3145231,settlement,Zagaykoni,Zagaykoni,variant,47.522217,28.502732,MD-TE,,
-2277651,15830928,settlement,Юрьевка,Юрьевка,unknown,46.66857,28.764713,MD-CM,,
-2277660,-3145255,spot,Zaym,Zaym,variant,46.611667,29.3175,MD-CS,,
-2277637,509523,settlement,Yegorovka,Yegorovka,variant,48.204324,28.35916,MD-SO,,
-2277677,-3145308,settlement,Zolotiyevka,Zolotiyevka,variant,46.73833,29.189247,MD-IA,,
-2277724,-3206527,settlement,Zerneshty,Zerneshty,variant,46.012066,28.162939,MD-CA,,
-2277673,-3145287,settlement,Zholobok,Zholobok,variant,47.356177,28.911597,MD-OR,,
-2277670,-3145277,settlement,Zguriţa,Zgurita,official,48.119814,28.014516,MD-DR,,
-2277669,-3145271,settlement,Zgardesht’,Zgardesht',variant,47.530576,28.190496,MD-TE,,
-2277679,244686,settlement,"Zăzulenii Vechi","Zazulenii Vechi",variant,47.613706,28.991162,MD-RE,,
-2277629,15833139,settlement,Ялпуг,Ялпуг,unknown,46.649641,28.587356,MD-CM,,
-2277658,242620,settlement,Zahorna,Zahorna,official,47.795602,28.5543,MD-SD,,
-2277672,-3145282,settlement,Zhavgur,Zhavgur,variant,46.539829,28.615112,MD-CM,,
-2277637,-3145185,settlement,Yegaren’,Yegaren',variant,48.204324,28.35916,MD-SO,,
-2277657,15828314,settlement,Загорены,Загорены,unknown,47.576734,28.727748,MD-RE,,
-2277653,-3145222,settlement,Zabrichany,Zabrichany,variant,48.073637,27.252645,MD-ED,,
-2277724,241407,settlement,Zîrneşti,Zirnesti,official,46.012066,28.162939,MD-CA,,
-2277676,-3145304,spot,"Stantsiya Zloti","Stantsiya Zloti",variant,46.694156,28.895626,MD-CM,,
-2277681,242712,settlement,Zâmbreni,Zambreni,variant,46.838871,28.845947,MD-IA,,
-2277674,239869,settlement,Jevreni,Jevreni,official,47.258379,29.063029,MD-DU,,
-2277673,-3145284,settlement,Zhelobok,Zhelobok,variant,47.356177,28.911597,MD-OR,,
-2277664,243387,settlement,Zamcioji,Zamcioji,variant,47.205021,28.722158,MD-ST,,
-2277681,240195,settlement,Zîmbreni,Zimbreni,official,46.838871,28.845947,MD-IA,,
-2277659,17350900,settlement,Zayim,Zayim,variant,46.619385,29.348248,MD-CS,,
-2277650,-3145215,settlement,Yurchany,Yurchany,variant,47.079543,28.259852,MD-NI,,
-2277666,-3145230,settlement,Zagaykany,Zagaykany,variant,47.976035,27.36898,MD-RI,,
-2277639,238338,settlement,Egorovca,Egorovca,official,47.61664,27.758431,MD-FA,,
-2277650,-3145216,settlement,Yurchen’,Yurchen',variant,47.079543,28.259852,MD-NI,,
-2277681,9116749,settlement,Zembreni,Zembreni,variant,46.838871,28.845947,MD-IA,,
-2277681,-3145266,settlement,Zembren’,Zembren',variant,46.838871,28.845947,MD-IA,,
-2277634,243963,settlement,"Iasnaia Poleana","Iasnaia Poleana",official,46.141172,28.304978,MD-CT,,
-2277672,15833130,settlement,Жавгур,Жавгур,unknown,46.539829,28.615112,MD-CM,,
-2277677,240650,settlement,Zolotievca,Zolotievca,official,46.73833,29.189247,MD-IA,,
-2277712,9115028,spot,Şoldăneşti,Soldanesti,variant,47.818333,28.790556,MD-SD,,
-2277678,-3145310,settlement,Zorile,Zorile,short,47.459196,28.740461,MD-OR,,
-2277644,-3141696,settlement,Elisaveta,Elisaveta,variant,47.781765,28.017381,MD-BA,,
-2277660,-3145241,spot,"Stantsiya Zaim","Stantsiya Zaim",variant,46.611667,29.3175,MD-CS,,
-2277631,-3145177,settlement,Yargora,Yargora,variant,46.425203,28.426756,MD-CT,,
-2277651,-3141824,settlement,Galbenitsya,Galbenitsya,variant,46.66857,28.764713,MD-CM,,
-2277632,9116304,spot,Yargora,Yargora,variant,46.42368,28.431413,MD-CT,,
-2277647,15833131,settlement,Епурены,Епурены,unknown,46.26241,28.219451,MD-CT,,
-2277644,237632,settlement,Elizaveta,Elizaveta,official,47.781765,28.017381,MD-BA,,
-2277637,237002,settlement,Egoreni,Egoreni,official,48.204324,28.35916,MD-SO,,
-2277647,9116087,settlement,Prut,Prut,variant,46.26241,28.219451,MD-CT,,
-2277658,-3145235,settlement,Zagorna,Zagorna,variant,47.795602,28.5543,MD-SD,,
-2277675,15829676,settlement,Жура,Жура,unknown,47.517677,29.042722,MD-SN,,
-2277672,-3142287,settlement,Javgur,Javgur,official,46.539829,28.615112,MD-CM,,
-2277676,9116674,spot,Zloţi,Zloti,official,46.694156,28.895626,MD-CM,,
-2277639,15825165,settlement,Егоровка,Егоровка,unknown,47.61664,27.758431,MD-FA,,
-2277656,15829941,settlement,Загоранча,Загоранча,unknown,47.245044,27.766003,MD-UN,,
-2277651,240593,settlement,Iurievca,Iurievca,official,46.66857,28.764713,MD-CM,,
-2277664,-3145250,settlement,Zamozh’,Zamozh',variant,47.205021,28.722158,MD-ST,,
-2277666,-3145254,settlement,Zaykany,Zaykany,variant,47.976035,27.36898,MD-RI,,
-2277667,-3145264,settlement,Zbiroya,Zbiroya,variant,46.96896,28.105057,MD-000,,
-2277645,-3145197,settlement,Yelizaveta,Yelizaveta,variant,48.27815,27.716593,MD-DO,,
-2277655,-3145227,settlement,"Zagaykani Vek’","Zagaykani Vek'",variant,47.522217,28.502732,MD-TE,,
-2277665,15829543,settlement,Zaporozhots,Zaporozhots,variant,47.588928,29.137887,MD-SN,,
-2277646,241232,settlement,Enichioi,Enichioi,official,46.218996,28.415623,MD-CT,,
-2277654,239875,settlement,Zăicana,Zaicana,official,47.167988,28.952785,MD-CR,,
-2277659,-3145239,settlement,Zaim,Zaim,official,46.619385,29.348248,MD-CS,,
-2277651,-3145220,settlement,Yur’yevka,Yur'yevka,variant,46.66857,28.764713,MD-CM,,
-2277641,-3141691,settlement,Echimăuţi,Echimauti,official,47.69381,28.901383,MD-RE,,
-2277667,-3145261,settlement,Zberoaya,Zberoaya,variant,46.96896,28.105057,MD-000,,
-2277641,-3145192,settlement,Yekimautsy,Yekimautsy,variant,47.69381,28.901383,MD-RE,,
-2277647,-3141700,settlement,Epureni,Epureni,variant,46.26241,28.219451,MD-CT,,
-2277632,-3145176,spot,"Stantsiya Yargara","Stantsiya Yargara",variant,46.42368,28.431413,MD-CT,,
-2277633,-3145179,settlement,Yarovo,Yarovo,variant,48.317313,28.045018,MD-SO,,
-2277640,240601,settlement,Ecaterinovca,Ecaterinovca,official,46.583358,28.747297,MD-CM,,
-2277646,-3145200,settlement,Yenikioy,Yenikioy,variant,46.218996,28.415623,MD-CT,,
-2277633,236986,settlement,Iarova,Iarova,official,48.317313,28.045018,MD-SO,,
-2277724,-3145299,settlement,Zirneshty,Zirneshty,variant,46.012066,28.162939,MD-CA,,
-2277632,-3145180,spot,"Stantsiya Yarzhara","Stantsiya Yarzhara",variant,46.42368,28.431413,MD-CT,,
-2277630,15833138,hydrographic,Ялпужель,Ялпужель,unknown,46.02798,28.573881,MD-GA,,
-2277649,-3145207,settlement,Yerzhovo,Yerzhovo,variant,47.804755,29.007713,MD-SN,,
-2277671,15828311,settlement,Жабка,Жабка,unknown,47.980911,28.704126,MD-FL,,
-2277630,9115994,hydrographic,Ialpug,Ialpug,variant,46.02798,28.573881,MD-GA,,
-2277660,533930,spot,"Staţia de Cale Ferată Zaim","Statia de Cale Ferata Zaim",official,46.611667,29.3175,MD-CS,,
-2277649,-3145205,settlement,Yerzheu,Yerzheu,variant,47.804755,29.007713,MD-SN,,
-2277630,-3141311,hydrographic,Chioseler,Chioseler,variant,46.02798,28.573881,MD-GA,,
-2277649,15829617,settlement,Ержово,Ержово,unknown,47.804755,29.007713,MD-SN,,
-2277661,-3145243,settlement,"Zakrepostnaya Slobodka","Zakrepostnaya Slobodka",variant,46.82874,29.52174,MD-SN,,
-2277724,-3145252,settlement,Zărneşti,Zarnesti,variant,46.012066,28.162939,MD-CA,,
-2277663,-3145246,settlement,Zaluchany,Zaluchany,variant,48.051132,28.554725,MD-FL,,
-2277631,-3143837,settlement,"Posëlok Yargora","Poselok Yargora",variant,46.425203,28.426756,MD-CT,,
-2277643,-3142217,settlement,Ilineuka,Ilineuka,variant,47.634951,27.711898,MD-FA,,
-2277641,-3145166,settlement,Yakimovtsy,Yakimovtsy,variant,47.69381,28.901383,MD-RE,,
-2277658,-3145242,settlement,Zakharna,Zakharna,variant,47.795602,28.5543,MD-SD,,
-2277640,-3145189,settlement,Yekaterinovka,Yekaterinovka,variant,46.583358,28.747297,MD-CM,,
-2277636,-3145183,settlement,Edintsy,Edintsy,variant,48.172149,27.30337,MD-ED,,
-2277629,-3145172,settlement,Yalpug,Yalpug,variant,46.649641,28.587356,MD-CM,,
-2277681,15830922,settlement,Зымбряны,Зымбряны,unknown,46.838871,28.845947,MD-IA,,
-2277671,-3145281,settlement,Zhapka,Zhapka,variant,47.980911,28.704126,MD-FL,,
-2277649,239110,settlement,Hîrjău,Hirjau,variant,47.804755,29.007713,MD-SN,,
-2277655,15828315,settlement,Загайканы,Загайканы,unknown,47.522217,28.502732,MD-TE,,
-2277630,241348,hydrographic,Ialpugel,Ialpugel,official,46.02798,28.573881,MD-GA,,
-2277632,9116307,spot,Iargara,Iargara,variant,46.42368,28.431413,MD-CT,,
-2277650,-3145218,settlement,Yurcheny,Yurcheny,variant,47.079543,28.259852,MD-NI,,
-2277633,15849403,settlement,Ярово,Ярово,unknown,48.317313,28.045018,MD-SO,,
-2277659,-3145256,settlement,Zayn,Zayn,variant,46.619385,29.348248,MD-CS,,
-2277636,15849109,settlement,Единцы,Единцы,unknown,48.172149,27.30337,MD-ED,,
-2277648,-3145204,settlement,Yermokliya,Yermokliya,variant,46.580453,29.512031,MD-SV,,
