wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
16075397,21517973,settlement,Rujyā,Rujya,official,29.37266481,80.64158756,NP-P7,,
16075638,21518307,settlement,Sutāri̇̄gāũ,Sutarigau,official,29.28239391,80.67542994,NP-P7,,
16075221,21517795,settlement,Golāi,Golai,official,29.31199826,80.53574336,NP-P7,,
16075580,21518250,settlement,Bhaḍār,Bhadar,official,29.29986673,80.64121455,NP-P7,,
-1021869,21517882,settlement,Ḍaḍeldhurā,Dadeldhura,variant,29.2992168,80.58332944,NP-P7,,
16075633,21518273,settlement,Lordeu,Lordeu,official,29.31101394,80.71833422,NP-P7,,
16075640,21518332,settlement,Bhā̃ḍi,Bhadi,official,29.266532,80.662518,NP-P7,,
16075224,21517874,settlement,Ḍā̃ḍākharka,Dadakharka,official,29.26059512,80.6063109,NP-P7,,
16075335,21517980,settlement,Simu,Simu,official,29.35972156,80.66469676,NP-P7,,
16075406,21518018,settlement,Gairi̇̄gāũ,Gairigau,official,29.33785682,80.69637916,NP-P7,,
16075647,21518285,settlement,Chhiplā,Chhipla,official,29.29128781,80.7274353,NP-P7,,
16075331,21517989,settlement,Chalkaṭṭe,Chalkatte,official,29.36995221,80.69767056,NP-P7,,
16075354,21518002,settlement,Suwākoṭ,Suwakot,official,29.34710469,80.73219313,NP-P7,,
16075394,21518038,settlement,Airoḍā,Airoda,official,29.33383395,80.64395713,NP-P7,,
16075329,21518054,settlement,Baḍam,Badam,official,29.31762316,80.67071278,NP-P7,,
16075681,21518276,settlement,Gwānni̇̄,Gwanni,official,29.30129713,80.74032923,NP-P7,,
16075594,21518290,hydrographic,"Kailun Gāḍ","Kailun Gad",official,29.27259136,80.70343007,NP-P7,,
16075377,21517967,hydrographic,"Gairi̇̄ Gāḍ","Gairi Gad",official,29.35018148,80.62915319,NP-P7,,
16075291,21517812,settlement,Ḍhāṭgāũ,Dhatgau,official,29.31953593,80.62102664,NP-P7,,
16075385,21518068,settlement,Ganyā,Ganya,official,29.3138288,80.7396412,NP-P7,,
16075220,21517853,hydrographic,"Lisne Kholā","Lisne Khola",official,29.25972346,80.57939246,NP-P7,,
16087750,21534285,hydrographic,"Devi̇̄jāl Kholā","Devijal Khola",official,29.07395698,80.59483518,NP-P7,,
16086475,21532486,settlement,Rauwā,Rauwa,official,29.3022755,80.93118357,NP-P7,,
16087705,21534240,hydrographic,"Bāsu Kholā","Basu Khola",official,29.1088187,80.5403786,NP-P7,,
16086470,21532480,settlement,Bāhunkā̃ḍā,Bahunkada,official,29.30214575,80.88964051,NP-P7,,
16087726,21534261,hydrographic,"Ubi̇̄ Gāḍ","Ubi Gad",official,29.11508672,80.57395711,NP-P7,,
16087369,21533495,park,Ghāḍ,Ghad,official,29.15357424,80.6684883,NP-P7,,
16087311,21533436,settlement,Ukanāḍ,Ukanad,official,29.2058839,80.66436675,NP-P7,,
16087697,21534231,settlement,Jālṭuḍā,Jaltuda,official,29.10535097,80.52274588,NP-P7,,
16087747,21534282,settlement,"Mallo Riṭhā","Mallo Ritha",official,29.07797724,80.60432077,NP-P7,,
16087709,21534244,settlement,Gwānni̇̄,Gwanni,official,29.11488261,80.53433958,NP-P7,,
16087723,21534258,settlement,Simalkharka,Simalkharka,official,29.11712159,80.55937311,NP-P7,,
16087365,21533491,hydrographic,"Gāḍākharka Kholā","Gadakharka Khola",official,29.13737158,80.69398639,NP-P7,,
16087784,21534319,settlement,Kālchiuri̇̄,Kalchiuri,official,29.06321713,80.51311423,NP-P7,,
16086554,21532565,settlement,"Baḍ Amalā Kharka","Bad Amala Kharka",official,29.26596737,80.93468939,NP-P7,,
16087297,21533422,park,Asanpāni̇̄,Asanpani,official,29.22548332,80.68250985,NP-P7,,
16087300,21533425,settlement,Parmāyāgoṭh,Parmayagoth,official,29.24348586,80.70307236,NP-P7,,
16086485,21532496,settlement,Lāṭbheri̇̄,Latbheri,official,29.29235956,80.9785552,NP-P7,,
16087313,21533438,settlement,Maineṭhā,Mainetha,official,29.21620711,80.6637154,NP-P7,,
16087707,21534242,settlement,Kaṭaũji̇̄,Katauji,official,29.11776085,80.52414773,NP-P7,,
16087395,21533521,settlement,Barmā,Barma,official,29.12914279,80.66875508,NP-P7,,
16086486,21532497,settlement,Wāri̇̄guḍe,Warigude,official,29.29434232,80.99002448,NP-P7,,
16087796,21534331,hydrographic,"Dhaulā Gāḍ","Dhaula Gad",official,29.06419006,80.54622689,NP-P7,,
16087427,21533553,settlement,"Tallo Alyāḍi̇̄","Tallo Alyadi",official,29.14292404,80.7369979,NP-P7,,
16086569,21532580,settlement,"Indra Chok","Indra Chok",official,29.26236034,80.97358012,NP-P7,,
16087758,21534293,hydrographic,"Raṅgeni̇̄ Tāl","Rangeni Tal",official,29.08430132,80.56360828,NP-P7,,
16087383,21533509,hydrographic,"Bā̃s Kholā","Bas Khola",official,29.14023253,80.64161426,NP-P7,,
16086531,21532542,settlement,Maṭoḍār,Matodar,official,29.25472726,80.90016756,NP-P7,,
16087352,21533478,hydrographic,"Bhaṭṭāri̇̄ Kholā","Bhattari Khola",official,29.20306749,80.643386,NP-P7,,
16086513,21532524,hydrographic,"Ruwā Kholā","Ruwa Khola",official,29.27371044,80.92840215,NP-P7,,
16087350,21533476,settlement,Nachalthali̇̄,Nachalthali,official,29.16532356,80.63708977,NP-P7,,
16086539,21532550,settlement,Saran,Saran,official,29.26444389,80.92169663,NP-P7,,
16086565,21532576,settlement,"Phālle Gaḍo","Phalle Gado",official,29.2578999,80.96574092,NP-P7,,
16086537,21532548,settlement,Bā̃phi̇̄,Baphi,official,29.25333508,80.91126501,NP-P7,,
16087420,21533546,settlement,Uparkoṭ,Uparkot,official,29.13174206,80.71031423,NP-P7,,
16086489,21532500,settlement,"Tallo Uḍitolā","Tallo Uditola",official,29.27550566,80.99618813,NP-P7,,
16087699,21534234,settlement,Bā̃s,Bas,official,29.12270184,80.49965677,NP-P7,,
16087305,21533430,settlement,Chaumālā,Chaumala,official,29.20264269,80.68402872,NP-P7,,
16086556,21532567,settlement,Deulaḍā,Deulada,official,29.27241284,80.95819754,NP-P7,,
16086479,21532490,hydrographic,"Bhogre Kholā","Bhogre Khola",official,29.30100497,80.98269639,NP-P7,,
16086476,21532487,hypsographic,"Rupse Ḍā̃ḍā","Rupse Dada",official,29.2998223,80.94477228,NP-P7,,
16086518,21532529,settlement,Chamaraḍi̇̄,Chamaradi,official,29.29567344,80.89824011,NP-P7,,
16086508,21532519,settlement,Deusine,Deusine,official,29.28290499,80.93096548,NP-P7,,
16087287,21533412,settlement,Aṭgāũ,Atgau,official,29.23914357,80.65305645,NP-P7,,
16087307,21533432,settlement,Allekholāgāũ,Allekholagau,official,29.215213,80.686497,NP-P7,,
16086491,21532502,settlement,Bijalā,Bijala,official,29.28878215,80.9858414,NP-P7,,
16087769,21534304,settlement,Lāmjile,Lamjile,official,29.08422599,80.53741525,NP-P7,,
16087757,21534292,settlement,Bichhil,Bichhil,official,29.0955243,80.57501632,NP-P7,,
16086576,21532587,settlement,"Nāchanthali̇̄ Bajār","Nachanthali Bajar",official,29.2724274,80.99116656,NP-P7,,
16087386,21533512,settlement,Sunlek,Sunlek,official,29.12607921,80.63506397,NP-P7,,
16087732,21534267,settlement,Maurāḍi̇̄,Mauradi,official,29.12167575,80.58655455,NP-P7,,
16086562,21532573,settlement,Baitolā,Baitola,official,29.26781135,80.96183808,NP-P7,,
16087403,21533529,settlement,Lāmākhet,Lamakhet,official,29.13846702,80.69917531,NP-P7,,
16087379,21533505,settlement,"Tallo Sāni̇̄ Khāigāḍ","Tallo Sani Khaigad",official,29.15247844,80.63513437,NP-P7,,
16087361,21533487,settlement,Sumardeu,Sumardeu,official,29.15149539,80.72723276,NP-P7,,
16087335,21533460,hypsographic,"Maṭyāl Khāl Dhār","Matyal Khal Dhar",official,29.19085374,80.71282024,NP-P7,,
16087765,21534300,settlement,Gokul,Gokul,official,29.09256901,80.5506094,NP-P7,,
16086578,21532589,settlement,Dhāmi̇̄gāũ,Dhamigau,official,29.2698923,80.98086979,NP-P7,,
16087801,21534336,settlement,Seurāḍi̇̄,Seuradi,official,29.06220973,80.61341855,NP-P7,,
16086499,21532510,hydrographic,"Khuche Kholā","Khuche Khola",official,29.26597552,80.95306529,NP-P7,,
16087293,21533418,hydrographic,"Chirā Kholā","Chira Khola",official,29.24604591,80.65725365,NP-P7,,
16087761,21534296,settlement,Milchaurāhā,Milchauraha,official,29.08555193,80.55793421,NP-P7,,
16087790,21534325,settlement,Chiureni̇̄,Chiureni,official,29.06716532,80.54945279,NP-P7,,
16087286,21533411,settlement,Seti̇̄gāũ,Setigau,official,29.23487572,80.6502605,NP-P7,,
16086555,21532566,settlement,Ḍumri̇̄,Dumri,official,29.27357897,80.94195414,NP-P7,,
16087689,21534223,settlement,Luiṭāgāũ,Luitagau,official,29.12231803,80.50444058,NP-P7,,
16087789,21534324,settlement,Ḍumgāḍgāũ,Dumgadgau,official,29.0641391,80.54456761,NP-P7,,
16087385,21533511,settlement,Nakuṭṭi̇̄,Nakutti,official,29.13706551,80.62298932,NP-P7,,
16087368,21533494,settlement,Sudunnā,Sudunna,official,29.16069081,80.68151886,NP-P7,,
16086520,21532531,hydrographic,"Goṭh Kholā","Goth Khola",official,29.2895667,80.88146959,NP-P7,,
16087412,21533538,settlement,Selā,Sela,official,29.13166679,80.70115394,NP-P7,,
16087753,21534288,hydrographic,"Gogun Kholā","Gogun Khola",official,29.07857618,80.57481561,NP-P7,,
16087411,21533537,settlement,Sāhani̇̄gāũ,Sahanigau,official,29.13595147,80.69939235,NP-P7,,
16087736,21534271,settlement,Tuse,Tuse,official,29.11757566,80.60077295,NP-P7,,
16087737,21534272,settlement,Purān,Puran,official,29.10655249,80.60781844,NP-P7,,
16086523,21532534,hydrographic,"Sāsam Gāḍ","Sasam Gad",official,29.27005674,80.88880916,NP-P7,,
16086561,21532572,settlement,Baḍbhā̃,Badbha,official,29.26360907,80.95628225,NP-P7,,
16087372,21533498,settlement,Dāinegaḍā,Dainegada,official,29.15885417,80.65830898,NP-P7,,
16086496,21532507,settlement,Dhārāpāni̇̄,Dharapani,official,29.28273954,80.97174797,NP-P7,,
16087404,21533530,settlement,Ārā,Ara,official,29.13203938,80.6960383,NP-P7,,
16086552,21532563,settlement,Jogi̇̄ḍābre,Jogidabre,official,29.25055421,80.93780412,NP-P7,,
16087281,21533406,settlement,Sāungāũ,Saungau,official,29.22536474,80.64872756,NP-P7,,
16086471,21532481,settlement,Sāũdkā̃ḍā,Saudkada,official,29.30110981,80.89427717,NP-P7,,
16086550,21532561,settlement,"Amalā Kharka","Amala Kharka",official,29.26865043,80.93142896,NP-P7,,
16087318,21533443,settlement,Partal,Partal,official,29.21289576,80.6442694,NP-P7,,
16086493,21532504,settlement,Dhauleām,Dhauleam,official,29.27959317,80.98140827,NP-P7,,
16086526,21532537,settlement,Aṇyaul,Anyaul,official,29.26784124,80.87379219,NP-P7,,
16087320,21533445,settlement,Sui̇̃ḍe,Suide,official,29.22064762,80.63299495,NP-P7,,
16086529,21532540,settlement,Khunḍā̃ḍā,Khundada,official,29.2504709,80.88357153,NP-P7,,
16087374,21533500,settlement,Okhaḍāni̇̄,Okhadani,official,29.15894693,80.65217836,NP-P7,,
16087326,21533451,settlement,Pāṅ,Pan,official,29.19488378,80.63748205,NP-P7,,
16086548,21532559,settlement,Bhāgetaḍā,Bhagetada,official,29.2511123,80.9339892,NP-P7,,
16087417,21533543,settlement,Salāḍi̇̄,Saladi,official,29.1444558,80.71444279,NP-P7,,
16087306,21533431,settlement,Sunnāgaḍā,Sunnagada,official,29.20575433,80.68085276,NP-P7,,
16087754,21534289,settlement,Chhatiwan,Chhatiwan,official,29.08132683,80.59156532,NP-P7,,
16087428,21533554,settlement,Suyāro,Suyaro,official,29.13885797,80.73219375,NP-P7,,
16086517,21532528,settlement,"Gāũ Kharka","Gau Kharka",official,29.29467272,80.90091318,NP-P7,,
16087321,21533446,settlement,Sāukharka,Saukharka,official,29.21054227,80.62228695,NP-P7,,
16087370,21533496,settlement,Mauloṭe,Maulote,official,29.15452453,80.66446165,NP-P7,,
16087779,21534314,vegetation,"Kānākholā Ban","Kanakhola Ban",official,29.07773652,80.51009159,NP-P7,,
16086535,21532546,settlement,"Tallo Sirkholi̇̄","Tallo Sirkholi",official,29.26931057,80.90617791,NP-P7,,
16087347,21533473,settlement,Gāḍākharka,Gadakharka,official,29.1683082,80.68498299,NP-P7,,
16087777,21534312,settlement,Khinnegaḍā,Khinnegada,official,29.09723961,80.51041497,NP-P7,,
16087291,21533416,settlement,Pokharā,Pokhara,official,29.23569217,80.66928004,NP-P7,,
16087336,21533461,hypsographic,"Nigāl Dhār","Nigal Dhar",official,29.18300713,80.71421317,NP-P7,,
16087719,21534254,hypsographic,"Rāni̇̄ban Ḍā̃ḍā","Raniban Dada",official,29.10211583,80.55845609,NP-P7,,
16086544,21532555,settlement,Kholi̇̄,Kholi,official,29.26791858,80.92566285,NP-P7,,
16087730,21534265,settlement,Suṅgurkhāl,Sungurkhal,official,29.11646612,80.58317558,NP-P7,,
16087787,21534322,hypsographic,"Aglo Dhuri̇̄ Ḍā̃ḍā","Aglo Dhuri Dada",official,29.06174646,80.53662886,NP-P7,,
16086572,21532583,settlement,Punnāgāũ,Punnagau,official,29.27089522,80.97472131,NP-P7,,
16087692,21534226,settlement,Koilāni̇̄,Koilani,official,29.10137,80.51126587,NP-P7,,
16087422,21533548,settlement,Ṭhulḍhuṅgā,Thuldhunga,official,29.12905256,80.72100744,NP-P7,,
16087375,21533501,settlement,Ḍā̃ḍāghār,Dadaghar,official,29.15504075,80.64773248,NP-P7,,
16087703,21534238,hydrographic,"Churepāni̇̄ Kholā","Churepani Khola",official,29.1092581,80.51816757,NP-P7,,
16087782,21534317,settlement,Bharyāk,Bharyak,official,29.06301816,80.50439051,NP-P7,,
16087353,21533479,settlement,Matkaṭṭe,Matkatte,official,29.22839642,80.64986791,NP-P7,,
16087394,21533520,settlement,Gā̃jari̇̄,Gajari,official,29.13031284,80.66094002,NP-P7,,
16087432,21533558,park,Saineri̇̄,Saineri,official,29.13494741,80.74435456,NP-P7,,
16087408,21533534,settlement,"Upallo Ojhāgāũ","Upallo Ojhagau",official,29.12684981,80.6903039,NP-P7,,
16087341,21533467,hypsographic,"Ḍā̃chhiri̇̄ Dhār","Dachhiri Dhar",official,29.17809646,80.73005198,NP-P7,,
16087745,21534280,settlement,Dhimaḍi̇̄gāũ,Dhimadigau,official,29.07470685,80.61420053,NP-P7,,
16087345,21533471,settlement,"Mallo Purkhe","Mallo Purkhe",official,29.17091924,80.70518266,NP-P7,,
16087289,21533414,settlement,Sunnagāũ,Sunnagau,official,29.24454143,80.656652,NP-P7,,
16087774,21534309,settlement,Masul,Masul,official,29.09210137,80.52730326,NP-P7,,
16086563,21532574,settlement,Bāgṭhāṭā,Bagthata,official,29.26554666,80.96978541,NP-P7,,
16087729,21534264,settlement,"Dhabreni̇̄ Ḍā̃ḍā","Dhabreni Dada",official,29.11277041,80.57849526,NP-P7,,
16086574,21532585,settlement,Rātoli̇̄,Ratoli,official,29.26391015,80.99684784,NP-P7,,
16087331,21533456,hydrographic,"Ṭhelāni̇̄ Gāḍ","Thelani Gad",official,29.20325054,80.64448902,NP-P7,,
16087283,21533408,hydrographic,"Alle Kholā","Alle Khola",official,29.21521913,80.68262033,NP-P7,,
16087351,21533477,settlement,Bāṭātāl,Batatal,official,29.18128581,80.72010652,NP-P7,,
16086525,21532536,settlement,"Sirkholi̇̄ Sain","Sirkholi Sain",official,29.27158035,80.87470303,NP-P7,,
16087767,21534302,settlement,Bhāteṭukrā,Bhatetukra,official,29.08393608,80.54382217,NP-P7,,
16087772,21534307,settlement,Baseni̇̄,Baseni,official,29.0912498,80.53554718,NP-P7,,
16087430,21533556,settlement,Mulāich,Mulaich,official,29.13149845,80.735231,NP-P7,,
16087387,21533513,settlement,Pokharā,Pokhara,official,29.1345778,80.64715136,NP-P7,,
16087358,21533484,settlement,"Māthillo Alyāḍi̇̄","Mathillo Alyadi",official,29.15173669,80.74441547,NP-P7,,
16086469,21532482,settlement,Rol,Rol,official,29.30139123,80.9092835,NP-P7,,
16086541,21532552,hydrographic,"Khāni̇̄ Kholā","Khani Khola",official,29.26781511,80.92843009,NP-P7,,
16086511,21532522,hydrographic,"Godare Kholā","Godare Khola",official,29.26051948,80.93152071,NP-P7,,
16087431,21533557,settlement,Badigāḍ,Badigad,official,29.13210944,80.7406156,NP-P7,,
16086551,21532562,hydrographic,"Hali̇̄ Kholā","Hali Khola",official,29.26279372,80.93039476,NP-P7,,
-1022608,21532594,settlement,Silgaḍhi̇̄,Silgadhi,official,29.26680352,80.98409599,NP-P7,,
16086510,21532521,hydrographic,"Umaḍ Kholā","Umad Khola",official,29.28042337,80.92906649,NP-P7,,
16087756,21534291,hydrographic,"Chhatiwan Tāl","Chhatiwan Tal",official,29.07951632,80.58726629,NP-P7,,
16086570,21532581,hydrographic,"Khiche Kholā","Khiche Khola",official,29.2520933,80.98480867,NP-P7,,
16087771,21534306,settlement,Gallek,Gallek,official,29.09918183,80.53553273,NP-P7,,
16087416,21533542,settlement,Beḍuban,Beduban,official,29.14914205,80.7121014,NP-P7,,
16087725,21534260,hydrographic,"Malle Kholā","Malle Khola",official,29.11345815,80.54907957,NP-P7,,
16087687,21534221,hydrographic,"Khaireni̇̄ Kholā","Khaireni Khola",official,29.1064344,80.49669341,NP-P7,,
16086488,21532499,settlement,Kamallā,Kamalla,official,29.28900523,80.9915928,NP-P7,,
16087793,21534328,hydrographic,"Kerābāri̇̄ Kholā","Kerabari Khola",official,29.06907693,80.59999306,NP-P7,,
16087760,21534295,settlement,Ḍuḍeri̇̄,Duderi,official,29.08163175,80.55222218,NP-P7,,
16087348,21533474,settlement,Dādargāũ,Dadargau,official,29.16733391,80.65785215,NP-P7,,
16087277,21533402,settlement,Bhāunne,Bhaunne,official,29.23456115,80.64016605,NP-P7,,
16087399,21533525,settlement,Jalkhet,Jalkhet,official,29.14850338,80.69074509,NP-P7,,
16087795,21534330,settlement,Ḍā̃ḍākhāli̇̄,Dadakhali,official,29.06604669,80.57304537,NP-P7,,
16086483,21532494,settlement,Loḍyām,Lodyam,official,29.29789379,80.98387988,NP-P7,,
16087276,21533401,hydrographic,"Koṭai Gāḍ","Kotai Gad",official,29.2252563,80.65292695,NP-P7,,
16086481,21532492,settlement,Koṭi̇̄gāũ,Kotigau,official,29.29628313,80.99423053,NP-P7,,
16087323,21533448,settlement,Dogaḍ,Dogad,official,29.20273385,80.64450542,NP-P7,,
16087708,21534243,settlement,Chauḍallā,Chaudalla,official,29.11932731,80.52680968,NP-P7,,
16087316,21533441,settlement,Ḍumarākholi̇̄,Dumarakholi,official,29.22003886,80.64766466,NP-P7,,
16087734,21534269,settlement,Pantheuḍā,Pantheuda,official,29.10384703,80.59093451,NP-P7,,
16086527,21532538,settlement,Surkāl,Surkal,official,29.25814696,80.88189045,NP-P7,,
16087722,21534257,settlement,"Mallo Ikḍā","Mallo Ikda",official,29.11274395,80.56106823,NP-P7,,
16087284,21533409,settlement,Bheulānā,Bheulana,official,29.22750638,80.6590603,NP-P7,,
16086506,21532517,settlement,Jārim,Jarim,official,29.29442063,80.92988232,NP-P7,,
16087697,21534232,settlement,Gharelu,Gharelu,variant,29.10535097,80.52274588,NP-P7,,
16087740,21534275,hydrographic,"Gurā̃se Kholā","Gurase Khola",official,29.09875969,80.62588721,NP-P7,,
16087376,21533502,settlement,Gairi̇̄ghār,Gairighar,official,29.155531,80.64276129,NP-P7,,
16087759,21534294,settlement,Kālāban,Kalaban,official,29.07821334,80.56477424,NP-P7,,
16087433,21533559,settlement,Okhalḍhuṅgā,Okhaldhunga,official,29.129592,80.628846,NP-P7,,
16087415,21533541,settlement,Kāphalāni̇̄,Kaphalani,official,29.1338652,80.7091352,NP-P7,,
16086516,21532527,hydrographic,"Kapartolā Kholā","Kapartola Khola",official,29.28347806,80.90055919,NP-P7,,
16086480,21532491,settlement,Kāṇigāũ,Kanigau,official,29.29947067,80.97392156,NP-P7,,
16087402,21533528,settlement,Maṭelā,Matela,official,29.13834941,80.69656078,NP-P7,,
16087382,21533508,hydrographic,"Khocherā Kholā","Khochera Khola",official,29.12898635,80.6287271,NP-P7,,
16086575,21532586,settlement,Meltolā,Meltola,official,29.27127484,80.99556968,NP-P7,,
16086472,21532483,settlement,Choyakmāl,Choyakmal,official,29.30231569,80.92110794,NP-P7,,
16086524,21532535,settlement,"Seuli̇̄ Hālne","Seuli Halne",official,29.27209828,80.89097094,NP-P7,,
16087711,21534246,settlement,Okhalḍhuṅgā,Okhaldhunga,official,29.11356422,80.54181134,NP-P7,,
16087362,21533488,hydrographic,"Gomati̇̄ Gāḍ","Gomati Gad",official,29.13656796,80.69727645,NP-P7,,
16087788,21534323,settlement,Dhimaḍā,Dhimada,official,29.07519925,80.53741525,NP-P7,,
16087371,21533497,hydrographic,"Dādar Kholā","Dadar Khola",official,29.1590161,80.65349885,NP-P7,,
16087373,21533499,settlement,Chirkaṭṭe,Chirkatte,official,29.15415793,80.65378606,NP-P7,,
16087748,21534283,settlement,Chhaharā,Chhahara,official,29.0923112,80.60058958,NP-P7,,
16086547,21532558,settlement,Kailorā,Kailora,official,29.2553924,80.92676899,NP-P7,,
16087328,21533453,hypsographic,"Ghaṇṭeshwar Dhurā","Ghanteshwar Dhura",official,29.17656566,80.6282583,NP-P7,,
16087743,21534278,hydrographic,"Buḍhi̇̄ Kholā","Budhi Khola",official,29.06378751,80.60891784,NP-P7,,
16087721,21534256,hypsographic,"Ikḍā Ḍā̃ḍā","Ikda Dada",official,29.10519724,80.56950504,NP-P7,,
16087409,21533535,settlement,Ṭāḍā,Tada,official,29.12734922,80.69417754,NP-P7,,
16087690,21534224,settlement,Chaurgāũ,Chaurgau,official,29.06993012,80.59515016,NP-P7,,
16087780,21534315,settlement,Magnegāũ,Magnegau,official,29.07423855,80.51854096,NP-P7,,
16087400,21533526,settlement,Dhuriyā,Dhuriya,official,29.14056463,80.68657154,NP-P7,,
16086503,21532514,settlement,Punebāṭā,Punebata,official,29.29619687,80.93882749,NP-P7,,
16087802,21534337,settlement,Ulje,Ulje,official,29.06040521,80.60960502,NP-P7,,
16087429,21533555,settlement,Chinekharka,Chinekharka,official,29.13296168,80.73116033,NP-P7,,
16086477,21532488,settlement,"Chijakāṭya Dhār","Chijakatya Dhar",official,29.30128425,80.95099117,NP-P7,,
16087344,21533470,settlement,Bhā̃ḍe,Bhade,official,29.16605377,80.70683313,NP-P7,,
16087421,21533547,settlement,Ṭāṭar,Tatar,official,29.12821962,80.71520976,NP-P7,,
16087785,21534320,settlement,Melkhāli̇̄,Melkhali,official,29.06788583,80.51767155,NP-P7,,
16087279,21533404,settlement,Chirkaṭṭe,Chirkatte,official,29.23555729,80.64404873,NP-P7,,
16086558,21532569,hydrographic,"Bāgremāḍu Kholā","Bagremadu Khola",official,29.25631388,80.94795339,NP-P7,,
16087426,21533552,settlement,Ḍobāḍā,Dobada,official,29.14036585,80.73005504,NP-P7,,
16087302,21533427,hydrographic,"Leti̇̄ Kholā","Leti Khola",official,29.24713946,80.73530158,NP-P7,,
16087718,21534253,hydrographic,"Rāni̇̄ban Kholā","Raniban Khola",official,29.1123665,80.54872705,NP-P7,,
16087357,21533483,hypsographic,"Ṭukulṭe Ḍā̃ḍā","Tukulte Dada",official,29.15515004,80.74056178,NP-P7,,
16087325,21533450,settlement,Hamkā̃ḍā,Hamkada,official,29.19644357,80.64651063,NP-P7,,
16087797,21534332,settlement,Melkholāgāũ,Melkholagau,official,29.06070857,80.58043415,NP-P7,,
16086564,21532575,settlement,Bajgāũ,Bajgau,official,29.26410832,80.96438868,NP-P7,,
16086519,21532530,settlement,Pā̃chkoṭ,Pachkot,official,29.29625521,80.89205881,NP-P7,,
16086571,21532582,hydrographic,"Ghāgan Kholā","Ghagan Khola",official,29.25199644,80.98494257,NP-P7,,
16086514,21532525,settlement,Amalṭukrā,Amaltukra,official,29.2866515,80.90975421,NP-P7,,
16087800,21534335,settlement,Barḍākoṭ,Bardakot,official,29.06614032,80.61963399,NP-P7,,
16086542,21532553,settlement,Salenā,Salena,official,29.27307642,80.92247973,NP-P7,,
16087308,21533433,settlement,Khuddāri̇̄,Khuddari,official,29.20586035,80.67700811,NP-P7,,
16087695,21534229,settlement,Bayalā,Bayala,official,29.10692844,80.51796001,NP-P7,,
16086528,21532539,settlement,Bhujunḍā,Bhujunda,official,29.25066914,80.87627314,NP-P7,,
16087712,21534247,park,Betanā,Betana,official,29.11514834,80.54558131,NP-P7,,
16087314,21533439,settlement,Jarmanā,Jarmana,official,29.21671829,80.65496493,NP-P7,,
16086546,21532557,settlement,Ichhāli̇̄,Ichhali,official,29.26161961,80.92463469,NP-P7,,
16086487,21532498,settlement,Khetkaṭṭe,Khetkatte,official,29.29307489,80.99508563,NP-P7,,
16087735,21534270,settlement,Ghusari̇̄,Ghusari,official,29.10778067,80.59716082,NP-P7,,
16087776,21534311,settlement,Ṭuḍebās,Tudebas,official,29.09778506,80.51497814,NP-P7,,
16086494,21532505,settlement,Pipaltolā,Pipaltola,official,29.2814724,80.98085279,NP-P7,,
16087294,21533419,settlement,Chirā,Chira,official,29.24719854,80.66193032,NP-P7,,
16087755,21534290,settlement,Pataḍā,Patada,official,29.08614779,80.58984507,NP-P7,,
16087783,21534318,settlement,Ākhali̇̄,Akhali,official,29.06683373,80.50659015,NP-P7,,
16087794,21534329,settlement,Bāskoṭā,Baskota,official,29.06191267,80.55167922,NP-P7,,
16087388,21533514,park,Sumarekhāli̇̄,Sumarekhali,official,29.13927034,80.65314144,NP-P7,,
16087346,21533472,settlement,"Kholā Purkhe","Khola Purkhe",official,29.16904347,80.70007683,NP-P7,,
16087773,21534308,settlement,"Seri̇̄ Bhāwar","Seri Bhawar",official,29.08796364,80.5298878,NP-P7,,
16087338,21533463,settlement,Lāmi̇̄tāl,Lamital,official,29.18355015,80.72727527,NP-P7,,
16087696,21534230,hydrographic,"Bhālu Kholā","Bhalu Khola",official,29.11506024,80.5049503,NP-P7,,
16087423,21533549,settlement,Āṭi̇̄,Ati,official,29.14621304,80.72510307,NP-P7,,
16087343,21533469,park,Ṭappu,Tappu,official,29.18635692,80.69324221,NP-P7,,
16087792,21534327,settlement,Dhārāpāni̇̄,Dharapani,official,29.07467331,80.5711679,NP-P7,,
16086573,21532584,settlement,Thāplā,Thapla,official,29.26313534,80.9827178,NP-P7,,
16087731,21534266,hydrographic,"Rājilgaiḍā Kholā","Rajilgaida Khola",official,29.12435264,80.60271277,NP-P7,,
16087414,21533540,settlement,Airoḍā,Airoda,official,29.13413973,80.70324915,NP-P7,,
16087377,21533503,settlement,"Muslek Dharamashālā","Muslek Dharamashala",official,29.16366859,80.62590231,NP-P7,,
16087717,21534252,settlement,Rāni̇̄ban,Raniban,official,29.11045768,80.54890441,NP-P7,,
16086567,21532578,settlement,Lekṭhāṭā,Lekthata,official,29.25569563,80.96974151,NP-P7,,
16086534,21532545,settlement,"Ḍā̃ḍā Gwāni̇̄","Dada Gwani",official,29.27295079,80.91081011,NP-P7,,
16087781,21534316,hydrographic,"Bhāḍi̇̄ Kholā","Bhadi Khola",official,29.06630886,80.49567287,NP-P7,,
16086515,21532526,settlement,Sāsam,Sasam,official,29.27734316,80.89830859,NP-P7,,
16087298,21533423,hypsographic,"Ganyāp Dhār","Ganyap Dhar",official,29.22882779,80.68878769,NP-P7,,
16087285,21533410,settlement,Maṭelā,Matela,official,29.23156241,80.65639489,NP-P7,,
