wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-3742257,-4975798,hypsographic,Enenak,Enenak,official,9.316667,166.85,MH-KWA,,
-3741872,-4974336,hypsographic,Annen,Annen,official,10.283333,170.9,MH-MEJ,,
-3742855,-4978617,hypsographic,Rukoji,Rukoji,official,11.516667,165.3,MH-KIL,,
-3742557,-4977213,hypsographic,Lebuiuigan,Lebuiuigan,official,7.45,168.916667,MH-ALL,,
-3742727,-4977906,hypsographic,Nanishi-To,Nanishi-To,variant,6.216667,169.516667,MH-JAL,,
-3742873,-4977661,hydrographic,Minami,Minami,variant,7.283333,168.75,MH-ALL,,
-3742891,-4978801,hypsographic,Take-tō,Take-to,variant,11.116667,169.666667,MH-UTI,,
-3742563,-4978474,hypsographic,Rōen,Roen,variant,7.75,168.233333,MH-NMU,,
-3742644,-4977516,hypsographic,Medjato,Medjato,variant,6.1,169.6,MH-JAL,,
-3742688,-4977766,hypsographic,Mwiang-Drïk,Mwiang-Drik,variant,7.133333,171.683333,MH-ARN,,
-3742574,-4977260,park,Lobat,Lobat,official,7.05,171.783333,MH-ARN,,
-3742354,-4976351,hypsographic,Gabelle,Gabelle,official,11.35,167.016667,MH-RON,,
-3742528,-4977078,hypsographic,Koron,Koron,variant,9.466667,170.233333,MH-WTJ,,
-3742489,-4977022,hypsographic,Kirien,Kirien,variant,7.15,171.6,MH-ARN,,
-3742963,-4979143,hydrographic,"West Opening","West Opening",official,8.333333,171.05,MH-AUR,,
-3742907,-4976918,hypsographic,Keroke,Keroke,variant,11.333333,167.5,MH-RON,,
-3742911,-4978881,hypsographic,Tibab,Tibab,official,9.516667,169.983333,MH-WTJ,,
-3742461,-4976795,hypsographic,Kabbuk,Kabbuk,variant,10.35,169.983333,MH-ALK,,
-3742549,-4977188,hydrographic,Lagediak-Strasse,Lagediak-Strasse,variant,9.4,170.15,MH-WTJ,,
-3742802,-4978272,hypsographic,Pokon-tō,Pokon-to,variant,9.833333,160.916667,MH-ENI,,
-3742559,-4974169,hypsographic,"Anboo To","Anboo To",variant,8.983333,167.583333,MH-KWA,,
-3742918,-4977224,hypsographic,Letakroki,Letakroki,variant,9.816667,169.1,MH-LIK,,
-3742975,-4978087,hypsographic,"Onimitchi Island","Onimitchi Island",variant,9.483333,170.216667,MH-WTJ,,
-3742429,-4976710,hypsographic,Jerol,Jerol,variant,11.433333,162.366667,MH-ENI,,
-3742538,-4975499,hypsographic,Dove,Dove,variant,9.083333,167.333333,MH-KWA,,
-3742647,-4977586,hydrographic,"Mejurwon Channel","Mejurwon Channel",variant,10.15,165.916667,MH-WTH,,
-3742365,-4976394,hypsographic,Gibinrii,Gibinrii,official,8.933333,166.266667,MH-LAE,,
-3742531,-4977097,hypsographic,Kubā-tō,Kuba-to,variant,7.3,168.85,MH-ALL,,
-3742927,-4976369,hypsographic,Garoga,Garoga,variant,11.2,166.683333,MH-RON,,
-3742988,-4979245,hypsographic,Yet,Yet,official,7.933333,168.233333,MH-NMU,,
-3742553,-4976654,hypsographic,Jätebteb,Jatebteb,variant,11.4,167.483333,MH-RON,,
-3742484,-4976902,hypsographic,"Kejiboi Island","Kejiboi Island",variant,7.116667,171.7,MH-ARN,,
-3742417,-4977178,hypsographic,Ladyslipper,Ladyslipper,variant,11.433333,162.383333,MH-ENI,,
-3742949,-4979078,hypsographic,Urubat,Urubat,variant,6.266667,169.5,MH-JAL,,
-3742898,-4978920,hydrographic,Tokowa,Tokowa,variant,6.216667,171.8,MH-MIL,,
-3742602,-4978607,hypsographic,"Rūjerukku Island","Rujerukku Island",variant,10.3,169.983333,MH-ALK,,
-3742643,-4977615,hypsographic,Meren,Meren,variant,11.4,162.383333,MH-ENI,,
-3742473,-4976847,hypsographic,Kapeniur,Kapeniur,variant,10.466667,169.95,MH-ALK,,
-3742896,-4978805,hypsographic,Takleblal,Takleblal,official,7.083333,171.733333,MH-ARN,,
-3742337,-4976252,hypsographic,Eonibje,Eonibje,official,8.183333,171.183333,MH-AUR,,
-3742541,-4978350,hypsographic,Rarubeppu,Rarubeppu,variant,6.233333,171.95,MH-MIL,,
-3742421,-4978735,hypsographic,Supein,Supein,variant,6.066667,171.85,MH-MIL,,
-3742612,-4977387,hypsographic,"Majokoryaan Island","Majokoryaan Island",variant,11.133333,166.533333,MH-RON,,
-3742740,-4977956,hypsographic,Naucharii-tō,Naucharii-to,variant,7.483333,168.616667,MH-ALL,,
-3742565,-4976292,hypsographic,Erippu-tō,Erippu-to,variant,8.316667,167.416667,MH-LIB,,
-3742502,-4977027,hypsographic,Kirinen,Kirinen,variant,11.65,162.266667,MH-ENI,,
-3742599,-4978631,hypsographic,Rukunoru-tō,Rukunoru-to,variant,6.016667,172.066667,MH-MIL,,
-3742517,-4976842,hypsographic,Kannatagan-To,Kannatagan-To,variant,6.066667,171.9,MH-MIL,,
-3742653,-4977557,hypsographic,Mejatto-To,Mejatto-To,variant,11.416667,167.033333,MH-RON,,
-3742665,-4977718,hypsographic,Mujinkārikku-tō,Mujinkarikku-to,variant,11.65,162.25,MH-ENI,,
-3742489,-4976921,hypsographic,Kiden,Kiden,official,7.15,171.6,MH-ARN,,
-3742902,-4976377,hypsographic,"Gaspar Rico Islands","Gaspar Rico Islands",variant,14.628942,168.944994,MH-000,,
-3742913,-4978880,hypsographic,Tian,Tian,variant,8.866667,171.066667,MH-MAL,,
-3742994,-4979266,hypsographic,Yuzugan,Yuzugan,official,11.4,167.033333,MH-RON,,
-3742519,-4977032,hypsographic,"Kiriniyan Island","Kiriniyan Island",variant,9.833333,160.85,MH-ENI,,
-3742903,-4978744,hypsographic,Taar,Taar,variant,8.833333,171.1,MH-MAL,,
-3742388,-4976528,hypsographic,Ion,Ion,variant,11.55,165.566667,MH-KIL,,
-3742750,-4977990,park,Ngongtaen,Ngongtaen,official,6.033333,171.966667,MH-MIL,,
-3742595,-4975297,hypsographic,Byugoren-tō,Byugoren-to,variant,7.766667,168.266667,MH-NMU,,
-3742829,-4978425,hypsographic,Rigeeshi-To,Rigeeshi-To,variant,6.016667,172.05,MH-MIL,,
-3742905,-4978948,hypsographic,Torua,Torua,variant,8.716667,171.233333,MH-MAL,,
-3742868,-4978730,hydrographic,"Sudost Durchfahrt","Sudost Durchfahrt",variant,5.933333,169.65,MH-JAL,,
-3742559,-4977216,hypsographic,"Legan Island","Legan Island",variant,8.983333,167.583333,MH-KWA,,
-3742835,-4978563,hypsographic,"Roquron Island","Roquron Island",variant,7.216667,171.083333,MH-MAJ,,
-3742370,-4977070,hypsographic,Komukomurapu-tō,Komukomurapu-to,variant,4.65,168.766667,MH-EBO,,
-3742509,-4976959,hypsographic,Kile,Kile,variant,5.65,169.066667,MH-KIL,,
-3742597,-4978611,hypsographic,"Rujiyoru Island","Rujiyoru Island",variant,11.633333,162.3,MH-ENI,,
-3742783,-4978107,hypsographic,Orimeshi,Orimeshi,variant,9.566667,170.15,MH-WTJ,,
-3742500,-4976934,hypsographic,Kidrenen,Kidrenen,official,7.216667,171.65,MH-ARN,,
-3742536,-4977105,hypsographic,"Kuejierin To","Kuejierin To",variant,8.716667,167.733333,MH-KWA,,
-3742860,-4978647,hydrographic,Rurikstrasse,Rurikstrasse,variant,9.45,169.816667,MH-WTJ,,
-3742768,-4978046,hypsographic,Obire,Obire,variant,9.35,167.5,MH-KWA,,
-3742746,-4977971,hydrographic,"Nel Pass","Nel Pass",variant,9.1,167.333333,MH-KWA,,
-3742379,-4978817,hypsographic,Talojen,Talojen,variant,7.083333,171.866667,MH-ARN,,
-3742760,-4978022,hypsographic,Nord-Spitze,Nord-Spitze,variant,7.133333,171.933333,MH-ARN,,
-3742955,-4979150,hypsographic,Wetowerakke,Wetowerakke,variant,9.366667,170.05,MH-WTJ,,
-3742474,-4976811,hypsographic,Kabenuuwaru,Kabenuuwaru,variant,9.916667,169.016667,MH-LIK,,
-3742536,-4977148,hypsographic,Kwajalein,Kwajalein,official,8.716667,167.733333,MH-KWA,,
-3742356,-4976427,hypsographic,"Gorra Island","Gorra Island",variant,7.116667,171.35,MH-MAJ,,
-3742422,-4976721,hypsographic,"Jibnao Island","Jibnao Island",variant,10.066667,166,MH-WTH,,
-3742363,-4976406,hypsographic,"Gio Island","Gio Island",variant,11.466667,166.866667,MH-RON,,
-3742604,-4977426,hypsographic,Mang-rar,Mang-rar,variant,7.083333,171.833333,MH-ARN,,
-3742793,-4978187,hypsographic,"Pigessnarukku Island","Pigessnarukku Island",variant,11.116667,166.433333,MH-RON,,
-3742565,-4978285,hypsographic,Princesse,Princesse,variant,8.316667,167.416667,MH-LIB,,
-3742979,-4979161,hypsographic,"Woddo Inseln","Woddo Inseln",variant,10.1,165.983333,MH-WTH,,
-3742591,-4977275,hypsographic,"Loj Island","Loj Island",variant,8.916667,166.216667,MH-LAE,,
-3742647,-4977532,hydrographic,"Medyeron Pass","Medyeron Pass",variant,10.15,165.916667,MH-WTH,,
-3742902,-4978249,hypsographic,Pokak,Pokak,variant,14.628942,168.944994,MH-000,,
-3742485,-4976905,hypsographic,Kejikabowa,Kejikabowa,official,6,172.083333,MH-MIL,,
-3742845,-4978540,hypsographic,"Rongerik Islands","Rongerik Islands",variant,11.35,167.433333,MH-RON,,
-3742486,-4977113,hypsographic,Kumaru-tō,Kumaru-to,variant,8.566667,171.183333,MH-MAL,,
-3742668,-4977724,hypsographic,"Mulgrave Inseln","Mulgrave Inseln",variant,6.133333,171.916667,MH-MIL,,
-3742907,-4978840,hypsographic,"Tarrowatt Island","Tarrowatt Island",variant,11.333333,167.5,MH-RON,,
-3742436,-4976694,hypsographic,"Jeloklap Island","Jeloklap Island",variant,10.433333,169.966667,MH-ALK,,
-3742645,-4977551,hypsographic,Mejai-tō,Mejai-to,variant,6.133333,169.566667,MH-JAL,,
-3742709,-4977834,hypsographic,Namake,Namake,official,6.066667,172.1,MH-MIL,,
-3742984,-4979057,hypsographic,Uosshiya-tō,Uosshiya-to,variant,9.083333,165.683333,MH-UJA,,
-3742687,-4977762,hypsographic,Mwet-drik,Mwet-drik,variant,7.283333,171.666667,MH-ARN,,
-3742576,-4977264,hypsographic,"Lobon Island","Lobon Island",variant,9.133333,167.166667,MH-KWA,,
-3742877,-4977909,hypsographic,Nankaku-Kaku,Nankaku-Kaku,variant,5.783333,169.616667,MH-JAL,,
-3742817,-4976567,hydrographic,Jabonōru,Jabonoru,variant,6.25,171.9,MH-MIL,,
-3742982,-4979204,hypsographic,Wotsch,Wotsch,variant,9.45,170.033333,MH-WTJ,,
-3742747,-4977978,hypsographic,"Nennar Island","Nennar Island",variant,9.316667,166.866667,MH-KWA,,
-3742391,-4976554,hypsographic,Jabnoren,Jabnoren,official,6.266667,169.416667,MH-JAL,,
-3742824,-4978578,hypsographic,Rubāwōn,Rubawon,variant,11.366667,162.183333,MH-ENI,,
-3742976,-4979179,hypsographic,"Worbāb Island","Worbab Island",variant,8.75,167.733333,MH-KWA,,
-3742353,-4976342,hydrographic,"Fordyce Channel","Fordyce Channel",official,7.083333,171.5,MH-000,,
-3742407,-4976604,hypsographic,Jaloklab,Jaloklab,official,7.216667,171.066667,MH-MAJ,,
-3742565,-4975618,hypsographic,Elleb,Elleb,variant,8.316667,167.416667,MH-LIB,,
-3742794,-4974539,hypsographic,"Bekrak Islet","Bekrak Islet",variant,11.25,169.85,MH-UTI,,
-3742679,-4977714,hypsographic,Muit,Muit,variant,11.35,162.2,MH-ENI,,
-3742679,-4977744,hypsographic,Mut,Mut,official,11.35,162.2,MH-ENI,,
-3742651,-4975653,hypsographic,Emmeji-tō,Emmeji-to,variant,4.6,168.683333,MH-EBO,,
-3742795,-4974671,hypsographic,"Bike Island","Bike Island",variant,11.283333,169.816667,MH-UTI,,
-3742580,-4978561,hypsographic,Rooji-To,Rooji-To,variant,8.8,167.733333,MH-KWA,,
-3742699,-4977808,hypsographic,Najabwake,Najabwake,official,7.083333,171.833333,MH-ARN,,
-3742424,-4975348,hypsographic,Chiebideadede,Chiebideadede,variant,8.733333,170.916667,MH-MAL,,
-3742668,-4977297,hypsographic,"Lord Mulgrave","Lord Mulgrave",variant,6.133333,171.916667,MH-MIL,,
-3742768,-4978047,hypsographic,Obire-tō,Obire-to,variant,9.35,167.5,MH-KWA,,
-3742824,-4978409,hypsographic,"Ribaion Island","Ribaion Island",variant,11.366667,162.183333,MH-ENI,,
-3742417,-4976732,hypsographic,Jiebetān-tō,Jiebetan-to,variant,11.433333,162.383333,MH-ENI,,
-3742476,-4974368,hypsographic,Araktcheef,Araktcheef,variant,8.9,170.85,MH-MAL,,
-3742620,-4977417,hypsographic,"Maloelap Atoll","Maloelap Atoll",official,8.75,171.05,MH-MAL,,
-3742638,-4977437,hypsographic,Maremar,Maremar,variant,5.633333,168.1,MH-NMK,,
-3742520,-4976337,hypsographic,"Eubbiyae Island","Eubbiyae Island",variant,11.666667,162.183333,MH-ENI,,
-3742845,-4977048,hypsographic,Kleimrong,Kleimrong,variant,11.35,167.433333,MH-RON,,
-3742712,-4977851,hypsographic,"Namoen Island","Namoen Island",variant,11.433333,167.066667,MH-RON,,
-3742980,-4979195,hypsographic,"Wotja Island","Wotja Island",variant,7.416667,168.55,MH-ALL,,
-3742429,-4976712,hypsographic,"Jeroru Island","Jeroru Island",variant,11.433333,162.366667,MH-ENI,,
-3742652,-4977632,hypsographic,"Meziyattō Tō","Meziyatto To",variant,9.316667,166.883333,MH-KWA,,
-3742828,-4978419,hypsographic,"Ribong Island","Ribong Island",variant,8.966667,166.216667,MH-LAE,,
-3742520,-4977040,hypsographic,Kirunu,Kirunu,official,11.666667,162.183333,MH-ENI,,
-3742547,-4977182,hypsographic,"Lae Island","Lae Island",variant,8.933333,166.233333,MH-LAE,,
-3742942,-4979035,hypsographic,Ulka,Ulka,variant,10.25,169.983333,MH-ALK,,
-3742752,-4978000,hypsographic,Niibunku-tō,Niibunku-to,variant,9.533333,169.966667,MH-WTJ,,
-3742941,-4979036,hypsographic,Ulliga,Ulliga,variant,7.1,171.383333,MH-MAJ,,
-3742901,-4978824,hypsographic,Tamwol,Tamwol,official,9.933333,169.2,MH-LIK,,
-3742952,-4979089,hypsographic,"Utirik Inseln","Utirik Inseln",variant,11.25,169.8,MH-UTI,,
-3742542,-4977171,hypsographic,Labarit,Labarit,variant,11.366667,167.016667,MH-RON,,
-3742359,-4976380,hydrographic,"Gea Pass","Gea Pass",official,8.816667,167.6,MH-KWA,,
-3742536,-4977153,hypsographic,"Kwajalein Island","Kwajalein Island",variant,8.716667,167.733333,MH-KWA,,
-3742421,-4978736,hypsographic,Supein-To,Supein-To,variant,6.066667,171.85,MH-MIL,,
-3742754,-4977996,hypsographic,Nieji,Nieji,variant,7.316667,168.666667,MH-ALL,,
-3742494,-4976926,hypsographic,Kidenkan,Kidenkan,official,6.233333,171.85,MH-MIL,,
-3742979,-4979190,hypsographic,"Wotho Atoll","Wotho Atoll",official,10.1,165.983333,MH-WTH,,
-3742799,-4978244,hypsographic,"Pokaakku Island","Pokaakku Island",official,14.567182,168.957196,MH-000,,
-3742978,-4979189,hypsographic,Wotho,Wotho,official,10.183333,166,MH-WTH,,
-3742721,-4977447,hypsographic,"Margaretta Islands","Margaretta Islands",variant,8,168.166667,MH-NMU,,
-3742616,-4977402,hypsographic,Majuruk,Majuruk,variant,7.15,171.2,MH-MAJ,,
-3742934,-4979108,hypsographic,"Uzyae To","Uzyae To",variant,9.083333,165.666667,MH-UJA,,
-3742563,-4977227,hypsographic,"Leuen Island","Leuen Island",variant,7.75,168.233333,MH-NMU,,
-3742345,-4976269,hypsographic,Eregub,Eregub,variant,9.133333,170.033333,MH-WTJ,,
-3742928,-4978978,hypsographic,Tuwaaken,Tuwaaken,official,6.05,171.85,MH-MIL,,
-3742641,-4977544,hypsographic,"Meik Island","Meik Island",variant,9,167.733333,MH-KWA,,
-3742961,-4979137,hypsographic,"Weobiji Island","Weobiji Island",variant,11.216667,166.9,MH-RON,,
-3742547,-4978315,hypsographic,"Rai Islands","Rai Islands",variant,8.933333,166.233333,MH-LAE,,
-3742984,-4979062,hypsographic,"Uotsusha To","Uotsusha To",variant,9.083333,165.683333,MH-UJA,,
-3742382,-4976508,hypsographic,"Imuroji To","Imuroji To",variant,6.066667,169.616667,MH-JAL,,
-3742841,-4978453,hypsographic,"Rimski Korsakov","Rimski Korsakov",variant,11.333333,166.833333,MH-RON,,
-3742922,-4978943,hypsographic,"Toreechi Island","Toreechi Island",variant,9.533333,170.183333,MH-WTJ,,
-3742396,-4976574,administrative_region,Jabonwor,Jabonwor,official,7.166667,171.666667,MH-000,,
-3742431,-4975333,hydrographic,Che-Suido,Che-Suido,variant,7.5,168.95,MH-ALL,,
-3742467,-4977385,hypsographic,Majkein,Majkein,variant,8.15,168.166667,MH-NMU,,
-3742653,-4977556,hypsographic,"Mejatto Island","Mejatto Island",variant,11.416667,167.033333,MH-RON,,
-3742645,-4977528,hypsographic,"Medyai Island","Medyai Island",variant,6.133333,169.566667,MH-JAL,,
-3742339,-4976261,hydrographic,"Erappu Channel","Erappu Channel",official,10.333333,169.916667,MH-ALK,,
-3742521,-4977046,hydrographic,"Klee Pass","Klee Pass",official,5.966667,172.116667,MH-MIL,,
-3742659,-4977605,hypsographic,Menge,Menge,official,5.85,169.533333,MH-JAL,,
-3742919,-4974962,hypsographic,"Bokkonraito Island","Bokkonraito Island",variant,8.016667,168.166667,MH-NMU,,
-3742505,-4976401,hypsographic,Giisen,Giisen,variant,6.25,169.5,MH-JAL,,
-3742438,-4978873,hypsographic,"Temo Island","Temo Island",variant,10.116667,169.55,MH-000,,
-3742468,-4976831,hypsographic,"Kaishin Island","Kaishin Island",variant,6.25,169.416667,MH-JAL,,
-3742514,-4976980,hypsographic,Kimejo-To,Kimejo-To,variant,9.516667,169.983333,MH-WTJ,,
-3742757,-4978025,hydrographic,"Northeast Pass","Northeast Pass",official,6.066667,169.616667,MH-JAL,,
-3742841,-4978520,hypsographic,"Rongelab Atoll","Rongelab Atoll",variant,11.333333,166.833333,MH-RON,,
-3742368,-4976422,hypsographic,"Gogan Island","Gogan Island",variant,11.35,166.95,MH-RON,,
-3742381,-4976501,hydrographic,"Imieji Anchorage","Imieji Anchorage",official,6,169.683333,MH-JAL,,
-3742892,-4978714,hypsographic,"Souworoff Island","Souworoff Island",variant,11.15,169.633333,MH-UTI,,
-3742748,-4975440,hypsographic,Daruku,Daruku,variant,6.216667,169.45,MH-JAL,,
-3742525,-4977064,park,Kölöl’-en’,Kolol'-en',variant,7.033333,171.783333,MH-ARN,,
-3742560,-4978376,hypsographic,Reipu-To,Reipu-To,variant,8.95,166.25,MH-LAE,,
-3742755,-4978005,hypsographic,Ningi,Ningi,official,8.866667,167.75,MH-KWA,,
-3742361,-4976832,hypsographic,"Kā Island","Ka Island",variant,8.833333,167.583333,MH-KWA,,
-3742499,-4976931,hypsographic,Kidenkan,Kidenkan,official,10.033333,169.05,MH-LIK,,
-3742971,-4979170,hypsographic,Wojejalong,Wojejalong,variant,9.1,167.416667,MH-KWA,,
-3742480,-4977005,hypsographic,Kirakoen-To,Kirakoen-To,variant,7.55,168.966667,MH-ALL,,
-3742602,-4977338,hypsographic,Luujrik,Luujrik,official,10.3,169.983333,MH-ALK,,
-3742824,-4976625,hypsographic,James,James,variant,11.366667,162.183333,MH-ENI,,
-3742437,-4976607,hypsographic,Jaltoonej,Jaltoonej,variant,10,169.116667,MH-LIK,,
-3742594,-4978595,hypsographic,Rugaji-tō,Rugaji-to,variant,7.766667,168.216667,MH-NMU,,
-3742608,-4977503,hypsographic,"Maye To","Maye To",variant,7.833333,168.3,MH-NMU,,
-3742965,-4978014,hypsographic,Nishi-Kaku,Nishi-Kaku,variant,5.95,169.433333,MH-JAL,,
-3742758,-4978027,hydrographic,"Northeast Pass","Northeast Pass",official,11.35,166.983333,MH-RON,,
-3742835,-4978516,hypsographic,"Insel Roneron","Insel Roneron",variant,7.216667,171.083333,MH-MAJ,,
-3742824,-4978408,hypsographic,Ribaeon,Ribaeon,variant,11.366667,162.183333,MH-ENI,,
-3742913,-4975482,hypsographic,Djeng,Djeng,variant,8.866667,171.066667,MH-MAL,,
-3742721,-4977894,hypsographic,Namwo,Namwo,variant,8,168.166667,MH-NMU,,
-3742892,-4978737,hypsographic,Survorov,Survorov,variant,11.15,169.633333,MH-UTI,,
-3742347,-4976535,hypsographic,Irooj,Irooj,variant,7.166667,171.166667,MH-MAJ,,
-3742665,-4977640,hypsographic,Mijikadrek,Mijikadrek,official,11.65,162.25,MH-ENI,,
-3742538,-4977159,hypsographic,Kwajelin,Kwajelin,variant,9.083333,167.333333,MH-KWA,,
-3742619,-4977593,hypsographic,Melle,Melle,variant,10.033333,169.016667,MH-LIK,,
-3742801,-4978279,hypsographic,Pokoribiya-To,Pokoribiya-To,variant,5.883333,169.516667,MH-JAL,,
-3742349,-4976322,hypsographic,Erū-tō,Eru-to,variant,9.1,167.25,MH-KWA,,
-3742579,-4977273,hypsographic,Lojan,Lojan,official,10.1,166,MH-WTH,,
-3742566,-4978434,hypsographic,Rijeron,Rijeron,variant,6.183333,169.466667,MH-JAL,,
-3742759,-4978021,hydrographic,Nordost-Durchfahrt,Nordost-Durchfahrt,variant,6.2,172.1,MH-MIL,,
-3742620,-4974371,hypsographic,Araktschejeff,Araktschejeff,variant,8.75,171.05,MH-MAL,,
-3742721,-4977741,hypsographic,Musquillo,Musquillo,variant,8,168.166667,MH-NMU,,
-3742471,-4976837,hypsographic,"Kamome Island","Kamome Island",official,14.639837,169.012895,MH-000,,
-3742907,-4976855,hypsographic,Karoge,Karoge,variant,11.333333,167.5,MH-RON,,
-3742779,-4978091,hypsographic,Oniotto,Oniotto,official,9.316667,167.216667,MH-KWA,,
-3742674,-4977700,hypsographic,Morenkul,Morenkul,official,9.316667,167.183333,MH-KWA,,
-3742401,-4976559,hypsographic,"Jaboerukku Island","Jaboerukku Island",variant,12.25,170.133333,MH-000,,
-3742462,-4975860,hypsographic,Enesesegan,Enesesegan,variant,11.433333,167.066667,MH-RON,,
-3742897,-4978815,hypsographic,"Takowa Insel","Takowa Insel",variant,6.233333,171.8,MH-MIL,,
-3742952,-4979095,hypsographic,Utorokku-tō,Utorokku-to,variant,11.25,169.8,MH-UTI,,
-3742578,-4977276,hypsographic,"Loj Island","Loj Island",variant,9.166667,170.95,MH-000,,
-3743034,-4977577,hypsographic,Anenlik,Anenlik,variant,6.25,171.9,MH-MIL,,
-3742894,-4978790,hydrographic,Takamushikan-To,Takamushikan-To,variant,9.166667,167.65,MH-KWA,,
-3742611,-4977372,hypsographic,Majenbwu,Majenbwu,official,6.133333,172.1,MH-MIL,,
-3742385,-4976515,settlement,Ine,Ine,official,6.983333,171.7,MH-ARN,,
-3742672,-4977692,hypsographic,"Mokeromok Island","Mokeromok Island",variant,10.183333,165.983333,MH-WTH,,
-3742863,-4978682,hydrographic,Shishmarer,Shishmarer,variant,9.4,170.116667,MH-WTJ,,
-3742455,-4976768,hypsographic,Jolen,Jolen,official,9.4,170.133333,MH-WTJ,,
-3742515,-4976988,hypsographic,Kinajon,Kinajon,variant,6.066667,169.633333,MH-JAL,,
-3742899,-4978919,hydrographic,Tokoeoa,Tokoeoa,variant,6.233333,171.8,MH-MIL,,
-3742474,-4976849,hypsographic,"Insel Kapenor","Insel Kapenor",variant,9.916667,169.016667,MH-LIK,,
-3742835,-4978483,hypsographic,Roguron-tō,Roguron-to,variant,7.216667,171.083333,MH-MAJ,,
-3742658,-4977603,hypsographic,Menetoon,Menetoon,official,11.216667,169.8,MH-UTI,,
-3742685,-4977443,hypsographic,Mareri-To,Mareri-To,variant,7.083333,171.866667,MH-ARN,,
-3742926,-4978965,hypsographic,Tsugenoban,Tsugenoban,official,11.4,167.033333,MH-RON,,
-3742709,-4977837,hypsographic,"Namakke Island","Namakke Island",variant,6.066667,172.1,MH-MIL,,
-3742448,-4975376,hypsographic,Chinieero-To,Chinieero-To,variant,11.483333,162.4,MH-ENI,,
-3742597,-4978294,hypsographic,"Pujiyoru Island","Pujiyoru Island",variant,11.633333,162.3,MH-ENI,,
-3742643,-4977618,hypsographic,Meriren-tō,Meriren-to,variant,11.4,162.383333,MH-ENI,,
-3742840,-4978532,hypsographic,Rongerappu,Rongerappu,variant,11.15,166.866667,MH-RON,,
-3742655,-4977594,hypsographic,Mellu,Mellu,official,9.333333,167.433333,MH-KWA,,
-3742410,-4979233,hydrographic,Yarūto-kō,Yaruto-ko,variant,5.916667,169.633333,MH-JAL,,
-3742439,-4975363,hypsographic,"Chierumarokku Island","Chierumarokku Island",variant,8.716667,171.216667,MH-MAL,,
-3742601,-4978630,hydrographic,Rukunoru-Suido,Rukunoru-Suido,variant,6.016667,172.066667,MH-MIL,,
-3742466,-4976823,hydrographic,Kaerōga-suidō,Kaeroga-suido,variant,11.2,166.7,MH-RON,,
-3742812,-4978341,hypsographic,Rāme-tō,Rame-to,variant,8.916667,166.25,MH-LAE,,
-3742934,-4978674,hypsographic,Serpent,Serpent,variant,9.083333,165.666667,MH-UJA,,
-3742410,-4976615,hydrographic,"Jaluit Harbor","Jaluit Harbor",variant,5.916667,169.633333,MH-JAL,,
-3742988,-4976735,hypsographic,"Jieku To","Jieku To",variant,7.933333,168.233333,MH-NMU,,
-3742839,-4978531,hypsographic,Rongerappu,Rongerappu,variant,9.966667,169.016667,MH-LIK,,
-3742409,-4976618,hypsographic,"Jaluit Island","Jaluit Island",variant,5.85,169.633333,MH-JAL,,
-3742711,-4977846,hypsographic,Namen,Namen,official,9.383333,170.083333,MH-WTJ,,
-3742840,-4978551,hypsographic,Rongorappu,Rongorappu,variant,11.15,166.866667,MH-RON,,
-3742654,-4977558,hypsographic,"Mejdit Island","Mejdit Island",variant,10.283333,170.9,MH-MEJ,,
-3742515,-4976986,hypsographic,Kinadyeng,Kinadyeng,official,6.066667,169.633333,MH-JAL,,
-3742609,-4977368,hypsographic,Maj,Maj,official,9.316667,167,MH-KWA,,
-3742936,-4979107,hypsographic,"Uziran To","Uziran To",variant,9.766667,160.966667,MH-ENI,,
-3742721,-4977869,hypsographic,Namu,Namu,official,8,168.166667,MH-NMU,,
-3742811,-4977203,hydrographic,"Lapalap Passage","Lapalap Passage",variant,7.383333,168.883333,MH-ALL,,
-3742342,-4976268,hypsographic,"Ereeru To","Ereeru To",variant,7.416667,168.883333,MH-ALL,,
-3742902,-4976375,hypsographic,"Gaspar Rico","Gaspar Rico",variant,14.628942,168.944994,MH-000,,
-3742888,-4978765,hydrographic,"Tagelib Durchfahrt","Tagelib Durchfahrt",variant,7.083333,171.716667,MH-ARN,,
-3742349,-4976316,hypsographic,"Eru Island","Eru Island",variant,9.1,167.25,MH-KWA,,
-3742777,-4976041,hypsographic,Eniman,Eniman,variant,8.9,170.95,MH-MAL,,
-3742721,-4977864,hypsographic,Namo-tō,Namo-to,variant,8,168.166667,MH-NMU,,
-3742429,-4974949,hypsographic,"Boken Island","Boken Island",variant,11.433333,162.366667,MH-ENI,,
-3742430,-4976677,hypsographic,Jeh,Jeh,official,7.483333,168.95,MH-ALL,,
-3742833,-4978469,hypsographic,Rochikarai,Rochikarai,official,11.566667,165.566667,MH-KIL,,
-3742820,-4978398,hypsographic,"Rere Island","Rere Island",variant,6.033333,169.7,MH-JAL,,
-3742417,-4976635,hypsographic,Japtan,Japtan,official,11.433333,162.383333,MH-ENI,,
-3742451,-4976549,hypsographic,"Jabeik Island","Jabeik Island",variant,10.266667,169.983333,MH-ALK,,
-3742613,-4974108,hypsographic,Ajurotake,Ajurotake,variant,7.083333,171.133333,MH-MAJ,,
-3742362,-4976404,hypsographic,"Giko To","Giko To",variant,9.316667,166.933333,MH-KWA,,
